symbol,strategy,date_in,date_out,price_in,price_out,pnl,pnl_pct,reason,hold_days,lowest
BTC/USDT,Turtle Long,2020-07-22,2020-08-25,9518.16,11376.81,595.37,120.2,Channel Exit,34,
LINK/USDT,OBV Short,2020-09-02,2020-09-04,14.7982,11.908710000000001,315.89,43.87,Trailing Stop,2,10.8261
BTC/USDT,Turtle Long,2020-10-10,2020-12-11,11293.22,17650.0,2606.37,467.23,Channel Exit,62,
LINK/USDT,OBV Short,2020-10-28,2020-11-05,11.4403,10.725000000000001,127.27,14.0,Trailing Stop,8,9.75
LINK/USDT,OBV Short,2020-12-10,2020-12-13,11.9172,12.573,-122.76,-12.46,Trailing Stop,3,11.43
BTC/USDT,Turtle Long,2020-12-16,2021-01-21,21335.52,30420.0,2533.28,283.59,Channel Exit,36,
LINK/USDT,OBV Short,2021-01-19,2021-01-20,20.5557,20.970950000000002,-42.11,-4.62,Trailing Stop,1,19.0645
BTC/USDT,Turtle Long,2021-02-06,2021-02-23,39186.94,45570.79,-175.08,-13.89,Channel Exit,17,
BTC/USDT,Turtle Long,2021-03-13,2021-03-23,61188.39,53271.34,-334.18,-116.45,Channel Exit,10,
BTC/USDT,Turtle Long,2021-04-10,2021-04-18,59769.13,55700.0,-490.58,-86.59,Channel Exit,8,
SOL/USDT,OBV Short,2021-05-04,2021-05-08,42.636,45.562000000000005,-111.75,-15.52,Trailing Stop,4,41.42
LINK/USDT,OBV Short,2021-05-28,2021-05-30,27.878,26.07,128.58,14.52,Trailing Stop,2,23.7
BTC/USDT,Turtle Long,2021-08-09,2021-09-07,46253.4,46512.0,-368.62,-41.16,Channel Exit,29,
ETH/USDT,OBV Short,2021-08-17,2021-08-20,3011.72,3245.0000000000005,-126.06,-17.51,Trailing Stop,3,2950.0
BTC/USDT,Turtle Long,2021-09-07,2021-09-20,46863.73,43370.0,-295.35,-79.41,Channel Exit,13,
BTC/USDT,Turtle Long,2021-10-03,2021-10-27,48200.01,58963.0,648.58,102.15,Channel Exit,24,
BTC/USDT,Turtle Long,2021-11-08,2021-11-16,67525.83,60050.0,-187.83,-99.64,Channel Exit,8,
ETH/USDT,OBV Short,2021-11-18,2021-11-20,3996.9,4370.311000000001,-135.91,-21.1,Trailing Stop,2,3973.01
BNB/USDT,OBV Short,2021-11-26,2021-12-04,587.3,538.12,135.16,18.77,Trailing Stop,8,489.2
ETH/USDT,OBV Short,2021-11-26,2021-11-29,4041.2,4360.400000000001,-100.37,-17.85,Trailing Stop,3,3964.0
BTC/USDT,Turtle Long,2021-12-27,2021-12-29,50701.44,47313.01,-96.66,-60.15,Channel Exit,2,
SOL/USDT,OBV Short,2021-12-28,2022-01-12,177.32,143.0,283.81,43.49,Trailing Stop,15,130.0
BNB/USDT,OBV Short,2021-12-29,2022-01-11,514.5,446.1600000000001,238.8,29.82,Trailing Stop,13,405.6
ETH/USDT,OBV Short,2021-12-29,2022-01-11,3630.19,3221.713,126.69,25.25,Trailing Stop,13,2928.83
LINK/USDT,OBV Short,2022-02-02,2022-02-04,15.78,16.786,-138.78,-14.42,Trailing Stop,2,15.26
SOL/USDT,OBV Short,2022-02-11,2022-02-15,96.53,99.792,-63.18,-7.68,Trailing Stop,4,90.72
LINK/USDT,OBV Short,2022-03-04,2022-03-09,13.73,13.662,9.13,1.04,Trailing Stop,5,12.42
BNB/USDT,OBV Short,2022-03-04,2022-03-18,374.2,395.45000000000005,-121.33,-12.86,Trailing Stop,14,359.5
SOL/USDT,OBV Short,2022-03-04,2022-03-09,88.32,87.912,7.57,0.96,Trailing Stop,5,79.92
ETH/USDT,OBV Short,2022-04-06,2022-05-13,3168.51,1980.0000000000002,487.14,84.35,Trailing Stop,37,1800.0
BNB/USDT,OBV Short,2022-05-27,2022-06-15,301.6,218.24000000000004,540.86,62.13,Trailing Stop,19,198.4
ETH/USDT,OBV Short,2022-08-19,2022-08-25,1609.01,1676.0370000000003,-82.18,-9.45,Trailing Stop,6,1523.67
DOGE/USDT,OBV Short,2022-10-10,2022-10-25,0.05938,0.06059900000000001,-33.81,-4.7,Trailing Stop,15,0.0551
BTC/USDT,Turtle Long,2023-01-13,2023-02-09,19930.01,22500.0,220.05,37.52,Channel Exit,27,
SOL/USDT,OBV Short,2023-01-30,2023-02-01,23.96,24.728,-57.48,-7.29,Trailing Stop,2,22.48
BTC/USDT,Turtle Long,2023-02-15,2023-03-03,24324.05,22722.0,-218.13,-68.06,Channel Exit,16,
BTC/USDT,Turtle Long,2023-03-14,2023-04-20,24670.41,28170.0,152.96,26.59,Channel Exit,37,
ETH/USDT,OBV Short,2023-05-11,2023-06-20,1794.3,1788.611,5.24,0.64,Trailing Stop,40,1626.01
BTC/USDT,Turtle Long,2023-05-29,2023-06-05,27736.4,26327.24,-70.04,-45.72,Channel Exit,7,
BTC/USDT,Turtle Long,2023-06-20,2023-07-17,28307.99,29701.02,-65.08,-11.24,Channel Exit,27,
