symbol,strategy,date_in,date_out,price_in,price_out,pnl,pnl_pct,reason,hold_days,lowest
BTC/USDT,Turtle Long,2020-07-22 00:00:00,2020-08-25 00:00:00,9518.16,11376.81,595.37,120.2,Channel Exit,34,
BTC/USDT,Turtle Long,2020-10-10 00:00:00,2020-12-11 00:00:00,11293.22,17650.0,2606.37,467.23,Channel Exit,62,
BTC/USDT,Turtle Long,2020-12-16 00:00:00,2021-01-21 00:00:00,21335.52,30420.0,2533.28,283.59,Channel Exit,36,
BTC/USDT,Turtle Long,2021-02-06 00:00:00,2021-02-23 00:00:00,39186.94,45570.79,-175.08,-13.89,Channel Exit,17,
BTC/USDT,Turtle Long,2021-03-13 00:00:00,2021-03-23 00:00:00,61188.39,53271.34,-334.18,-116.45,Channel Exit,10,
BTC/USDT,Turtle Long,2021-04-10 00:00:00,2021-04-18 00:00:00,59769.13,55700.0,-490.58,-86.59,Channel Exit,8,
BTC/USDT,Turtle Long,2021-08-09 00:00:00,2021-09-07 00:00:00,46253.4,46512.0,-368.62,-41.16,Channel Exit,29,
BTC/USDT,Turtle Long,2021-09-07 00:00:00,2021-09-20 00:00:00,46863.73,43370.0,-295.35,-79.41,Channel Exit,13,
BTC/USDT,Turtle Long,2021-10-03 00:00:00,2021-10-27 00:00:00,48200.01,58963.0,648.58,102.15,Channel Exit,24,
BTC/USDT,Turtle Long,2021-11-08 00:00:00,2021-11-16 00:00:00,67525.83,60050.0,-187.83,-99.64,Channel Exit,8,
BTC/USDT,Turtle Long,2021-12-27 00:00:00,2021-12-29 00:00:00,50701.44,47313.01,-96.66,-60.15,Channel Exit,2,
BTC/USDT,Turtle Long,2023-01-13 00:00:00,2023-02-09 00:00:00,19930.01,22500.0,181.15,30.8,Channel Exit,27,
BTC/USDT,Turtle Long,2023-02-15 00:00:00,2023-03-03 00:00:00,24324.05,22722.0,-94.14,-59.28,Channel Exit,16,
BTC/USDT,Turtle Long,2023-03-14 00:00:00,2023-04-20 00:00:00,24670.41,28170.0,146.36,25.07,Channel Exit,37,
BTC/USDT,Turtle Long,2023-05-29 00:00:00,2023-06-05 00:00:00,27736.4,26327.24,-70.96,-45.72,Channel Exit,7,
BTC/USDT,Turtle Long,2023-06-20 00:00:00,2023-07-17 00:00:00,28307.99,29701.02,-53.72,-9.14,Channel Exit,27,
BTC/USDT,Turtle Long,2023-10-16 00:00:00,2023-12-29 00:00:00,28500.78,41637.6,1697.82,302.07,Channel Exit,74,
BTC/USDT,Turtle Long,2024-01-02 00:00:00,2024-01-03 00:00:00,44946.91,41300.0,-141.47,-73.02,Channel Exit,1,
BTC/USDT,Turtle Long,2024-01-08 00:00:00,2024-01-18 00:00:00,46951.04,41500.0,-185.28,-104.49,Channel Exit,10,
BTC/USDT,Turtle Long,2024-02-07 00:00:00,2024-03-17 00:00:00,44349.6,64780.0,2312.13,361.08,Channel Exit,39,
BTC/USDT,Turtle Long,2024-04-08 00:00:00,2024-04-13 00:00:00,71620.0,64493.07,-203.08,-89.56,Channel Exit,5,
BTC/USDT,Turtle Long,2024-05-15 00:00:00,2024-06-11 00:00:00,66206.5,67257.47,-82.04,-19.45,Channel Exit,27,
BTC/USDT,Turtle Long,2024-07-15 00:00:00,2024-08-01 00:00:00,64724.14,63456.7,-249.61,-41.1,Channel Exit,17,
BTC/USDT,Turtle Long,2024-08-23 00:00:00,2024-08-27 00:00:00,64037.24,58548.23,-146.1,-77.14,Channel Exit,4,
